symbol,name,country,sector,industry,exchange
AADI,Aadi Bioscience Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
AAL,American Airlines Group Inc. Common Stock,United States,Transportation,Air Freight/Delivery Services,NDQ
AAON,AAON Inc. Common Stock,United States,Capital Goods,Industrial Machinery/Components,NDQ
AAPL,Apple Inc. Common Stock,United States,Technology,Computer Manufacturing,NDQ
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,United States,Transportation,Transportation Services,NDQ
ABCB,Ameris Bancorp Common Stock,United States,Finance,Major Banks,NDQ
ABCL,AbCellera Biologics Inc. Common Shares,Canada,,,NDQ
ABCM,Abcam plc American Depositary Shares,United Kingdom,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NDQ
ABMD,ABIOMED Inc. Common Stock,United States,Health Care,Medical/Dental Instruments,NDQ
ABNB,Airbnb Inc. Class A Common Stock,United States,Capital Goods,Industrial Machinery/Components,NDQ
ABOS,Acumen Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
ABSI,Absci Corporation Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
ABST,Absolute Software Corporation Common Stock,Canada,,,NDQ
ABTX,Allegiance Bancshares Inc. Common Stock,United States,Finance,Major Banks,NDQ
ABUS,Arbutus Biopharma Corporation Common Stock,Canada,,,NDQ
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,United States,,,NDQ
ACB,Aurora Cannabis Inc. Common Shares,Canada,,,NDQ
ACBI,Atlantic Capital Bancshares Inc. Common Stock,United States,Finance,Major Banks,NDQ
ACCD,Accolade Inc. Common Stock,United States,,,NDQ
ACGL,Arch Capital Group Ltd. Common Stock,Bermuda,Finance,Property-Casualty Insurers,NDQ
ACHC,Acadia Healthcare Company Inc. Common Stock,United States,Health Care,Hospital/Nursing Management,NDQ
ACIU,AC Immune SA Common Stock,Switzerland,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
ACIW,ACI Worldwide Inc. Common Stock,United States,Technology,EDP Services,NDQ
ACLS,Axcelis Technologies Inc. Common Stock,United States,Technology,Industrial Machinery/Components,NDQ
ACMR,ACM Research Inc. Class A Common Stock,United States,Technology,Industrial Machinery/Components,NDQ
ACQR,Independence Holdings Corp. Class A Ordinary Share,United States,Finance,Business Services,NDQ
ACRS,Aclaris Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations,NDQ
ACT,Enact Holdings Inc. Common Stock,United States,Finance,Specialty Insurers,NDQ
ACTD,ArcLight Clean Transition Corp. II Class A Ordinary Share,United States,,,NDQ
