Symbol,Name,Country,Sector,Industry,exchange
A,Agilent Technologies Inc. Common Stock,United States,Capital Goods,Electrical Products,NYSE
AA,Alcoa Corporation Common Stock ,,Basic Industries,Metal Fabrications,NYSE
AAC,Ares Acquisition Corporation Class A Ordinary Shares,,Finance,Business Services,NYSE
AAN,Aarons Holdings Company Inc. Common Stock ,United States,Miscellaneous,Diversified Commercial Services,NYSE
AAP,Advance Auto Parts Inc.,United States,Consumer Services,Other Specialty Stores,NYSE
AAQC,Accelerate Acquisition Corp. Class A Common Stock,,,,NYSE
AAT,American Assets Trust Inc. Common Stock,United States,Consumer Services,Real Estate Investment Trusts,NYSE
AB,AllianceBernstein Holding L.P.  Units,United States,Finance,Investment Managers,NYSE
ABB,ABB Ltd Common Stock,Switzerland,Consumer Durables,Electrical Products,NYSE
ABBV,AbbVie Inc. Common Stock,United States,Health Care,Other Pharmaceuticals,NYSE
ABC,AmerisourceBergen Corporation Common Stock,United States,Health Care,Other Pharmaceuticals,NYSE
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),,Consumer Non-Durables,Beverages (Production/Distribution),NYSE
ABG,Asbury Automotive Group Inc Common Stock,United States,Consumer Services,Other Specialty Stores,NYSE
ABM,ABM Industries Incorporated Common Stock,United States,Technology,Diversified Commercial Services,NYSE
ABR,Arbor Realty Trust Common Stock,United States,Consumer Services,Real Estate Investment Trusts,NYSE
ABT,Abbott Laboratories Common Stock,United States,Health Care,Medical/Dental Instruments,NYSE
AC,Associated Capital Group Inc. Common Stock,United States,Finance,Investment Bankers/Brokers/Service,NYSE
ACA,Arcosa Inc. Common Stock ,,Capital Goods,Engineering & Construction,NYSE
ACC,American Campus Communities Inc Common Stock,United States,Consumer Services,Real Estate Investment Trusts,NYSE
ACCO,Acco Brands Corporation Common Stock,United States,Consumer Services,Advertising,NYSE
ACEL,Accel Entertainment Inc. ,United States,Consumer Services,Recreational Products/Toys,NYSE
ACH,Aluminum Corporation of China Limited American Depositary Shares,China,Basic Industries,Aluminum,NYSE
ACHR,Archer Aviation Inc. Class A Common Stock,United States,Capital Goods,Aerospace,NYSE
ACI,Albertsons Companies Inc. Class A Common Stock,United States,Consumer Services,Food Chains,NYSE
ACII,Atlas Crest Investment Corp. II Class A Common Stock,,,,NYSE
ACM,AECOM Common Stock,United States,Consumer Services,Military/Government/Technical,NYSE
ACN,Accenture plc Class A Ordinary Shares (Ireland),Ireland,Technology,EDP Services,NYSE
ACRE,Ares Commercial Real Estate Corporation Common Stock,United States,Consumer Services,Real Estate Investment Trusts,NYSE
ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock,,,,NYSE
ACV,Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,United States,Finance,Finance/Investors Services,NYSE
ADC,Agree Realty Corporation Common Stock,United States,Consumer Services,Real Estate Investment Trusts,NYSE
ADCT,ADC Therapeutics SA Common Shares,,Health Care,Biotechnology: Pharmaceutical Preparations,NYSE
ADEX,Adit EdTech Acquisition Corp. Common Stock,,,,NYSE
ADM,Archer-Daniels-Midland Company Common Stock,United States,,,NYSE
ADNT,Adient plc Ordinary Shares ,,Capital Goods,Auto Parts:O.E.M.,NYSE
ADS,Alliance Data Systems Corporation Common Stock,United States,Finance,Diversified Financial Services,NYSE
ADT,ADT Inc. Common Stock,United States,Consumer Services,Diversified Commercial Services,NYSE
ADX,Adams Diversified Equity Fund Inc.,United States,Finance,Investment Managers,NYSE
AEE,Ameren Corporation Common Stock,United States,Public Utilities,Power Generation,NYSE
AEG,AEGON N.V. Common Stock,Netherlands,Finance,Life Insurance,NYSE
AEL,American Equity Investment Life Holding Company Common Stock,United States,Finance,Life Insurance,NYSE
AEM,Agnico Eagle Mines Limited Common Stock,Canada,,,NYSE
AENZ,Aenza S.A.A. American Depositary Shares,,Capital Goods,Engineering & Construction,NYSE
AEO,American Eagle Outfitters Inc. Common Stock,United States,Consumer Services,Clothing/Shoe/Accessory Stores,NYSE
AER,AerCap Holdings N.V. Ordinary Shares,Netherlands,Technology,Diversified Commercial Services,NYSE
AES,The AES Corporation Common Stock,United States,Public Utilities,Electric Utilities: Central,NYSE
AEVA,Aeva Technologies Inc. Common Stock,,Capital Goods,Auto Parts:O.E.M.,NYSE
AFB,AllianceBernstein National Municipal Income Fund Inc,United States,Finance,Trusts Except Educational Religious and Charitable,NYSE
AFG,American Financial Group Inc. Common Stock,United States,Finance,Property-Casualty Insurers,NYSE
AFL,AFLAC Incorporated Common Stock,United States,Finance,Accident &Health Insurance,NYSE
AFTR,AfterNext HealthTech Acquisition Corp. Class A Ordinary Shares,,,,NYSE
AG,First Majestic Silver Corp. Ordinary Shares (Canada),Canada,,,NYSE
AGAC,African Gold Acquisition Corporation Class A Ordinary Shares,,Finance,Business Services,NYSE
AGCB,Altimeter Growth Corp. 2 Class A Ordinary Shares,,Finance,Business Services,NYSE
AGCO,AGCO Corporation Common Stock,United States,Capital Goods,Industrial Machinery/Components,NYSE
AGI,Alamos Gold Inc. Class A Common Shares,Canada,,,NYSE
AGL,agilon health inc. Common Stock,,Health Care,Managed Health Care,NYSE
AGM,Federal Agricultural Mortgage Corporation Common Stock,United States,Finance,Finance Companies,NYSE
AGO,Assured Guaranty Ltd. Common Stock,Bermuda,Finance,Property-Casualty Insurers,NYSE
AGR,Avangrid Inc. Common Stock,United States,Public Utilities,Electric Utilities: Central,NYSE
AGRO,Adecoagro S.A. Common Shares,Luxembourg,,Farming/Seeds/Milling,NYSE
AGTI,Agiliti Inc. Common Stock,,Health Care,Managed Health Care,NYSE
AGX,Argan Inc. Common Stock,United States,Capital Goods,Oilfield Services/Equipment,NYSE
AHH,Armada Hoffler Properties Inc. Common Stock,United States,Consumer Services,Real Estate Investment Trusts,NYSE
AHT,Ashford Hospitality Trust Inc Common Stock,United States,Consumer Services,Real Estate Investment Trusts,NYSE
AI,C3.ai Inc. Class A Common Stock,,Technology,Computer Software: Prepackaged Software,NYSE
AIG,American International Group Inc. New Common Stock,United States,Finance,Life Insurance,NYSE
AIN,Albany International Corporation Common Stock,United States,Basic Industries,Textiles,NYSE
AIO,Virtus AllianzGI Artificial Intelligence & Technology Opportunities Fund Common Shares,,Finance,Finance/Investors Services,NYSE
AIR,AAR Corp. Common Stock,United States,Capital Goods,Aerospace,NYSE
AIRC,Apartment Income REIT Corp. Common Stock,,Consumer Services,Real Estate Investment Trusts,NYSE
AIT,Applied Industrial Technologies Inc. Common Stock,United States,Capital Goods,Industrial Machinery/Components,NYSE
AIV,Apartment Investment and Management Company Common Stock,United States,Consumer Services,Real Estate Investment Trusts,NYSE
AIZ,Assurant Inc. Common Stock,United States,Finance,Specialty Insurers,NYSE
AJG,Arthur J. Gallagher & Co. Common Stock,United States,Finance,Specialty Insurers,NYSE
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,United States,Capital Goods,Military/Government/Technical,NYSE
AJX,Great Ajax Corp. Common Stock,United States,Consumer Services,Real Estate Investment Trusts,NYSE
AKA,a.k.a. Brands Holding Corp. Common Stock,,Consumer Non-Durables,Department/Specialty Retail Stores,NYSE
AKR,Acadia Realty Trust Common Stock,United States,Consumer Services,Real Estate Investment Trusts,NYSE
